question_id,gold,gpt_nor_pred,xl_nor_pred,gpt_token_f1,xl_token_f1,gpt_contains_gold,gpt_verbosity_ratio
single_squad_dev_1002,genome evolution,genome evolution and genetic diversity,evolution,0.5714,0.6667,1,2.50
single_squad_dev_1007,grade inflation,academic misconduct,racial discrimination,0.0000,0.0000,0,1.00
single_squad_dev_1012,"commodities, manufactured goods, and people",goods,ivory,0.3333,0.0000,0,0.20
single_squad_dev_1035,Taoiseach,Taoiseach,Minister for Foreign Affairs,1.0000,0.0000,1,1.00
single_squad_dev_1038,prime minister,Prime Minister,Speaker of the House,1.0000,0.0000,1,1.00
single_squad_dev_1071,Catholic services,"It is not specified in the question which country or time period is being referred to. Therefore, it is impossible to accurately answer this question. Please provide more context",drinking,0.0000,0.0000,0,14.00
single_squad_dev_1089,Pope Urban VIII,Pope Boniface VIII,Pope Pius XII,0.6667,0.3333,0,1.00
single_squad_dev_1103,Indoor lighting,"color, texture, and lighting",color,0.3333,0.0000,0,2.00
single_squad_dev_1109,LEDs,Light Emitting Diode (LED) lighting,LED,0.0000,0.0000,0,5.00
single_squad_dev_111,Catapult,"The question does not specify which concert is being referred to. Therefore, it is impossible to accurately answer this question. Please provide more information",Kickstarter,0.0000,0.0000,0,23.00
single_squad_dev_1132,form,The question does not provide enough context to determine what quest is being referred to. Please provide more information,the resulting sand,0.0000,0.0000,1,18.00
single_squad_dev_1160,Alexandra Palace,Broadcasting House in London,London,0.0000,0.0000,0,2.00
single_squad_dev_1188,Union Street,Bedford Street,Regent Street,0.5000,0.5000,0,1.00
single_squad_dev_1202,lowest,lowest,second,1.0000,0.0000,1,1.00
single_squad_dev_1208,150,37,66,0.0000,0.0000,0,1.00
single_squad_dev_1229,1968,1955,1945,0.0000,0.0000,0,1.00
single_squad_dev_1238,Aggregate-4 (A-4) rocket,German V-2 rocket,a rocket,0.3333,0.5000,0,1.00
single_squad_dev_1247,"June 16, 1963","June 16, 1963","October 3, 1983",1.0000,0.0000,1,1.00
single_squad_dev_1253,Apollo-Soyuz Test Project,Apollo-Soyuz Test Project,Advanced Simulation Technology Program,1.0000,0.0000,1,1.00
single_squad_dev_1329,large mammal species,many large mammals,antelope,0.3333,0.0000,0,1.00
single_squad_dev_135,smokejumpers and for other forest fire-fighting duties.,work on Civilian Public Service projects,work on the cattle ranches,0.0000,0.0000,0,0.86
single_squad_dev_1378,1931,1931,1931,1.0000,1.0000,1,1.00
single_squad_dev_1381,1942,9th century,1996,0.0000,0.0000,0,2.00
single_squad_dev_139,James J. Hill,Theodore Roosevelt,William A. Clark,0.0000,0.0000,0,0.67
single_squad_dev_1392,botanical specimens,"shells, rocks, and other natural objects",tinker toys,0.0000,0.0000,0,3.00
single_squad_dev_1436,tankōbon,tank\u014dbon,volumes,0.0000,0.0000,0,1.00
single_squad_dev_144,prominence within the group,ethnic and religious composition,the nature of the crimes,0.0000,0.0000,0,1.33
single_squad_dev_1442,digital technology,digital art,digital comics,0.5000,0.5000,0,1.00
