question,label,pca_x,pca_y,predicted_label,correct,embedding_norm
When was the institute that owned The Collegian founded?,C,0.33079028,0.18204252,C,True,1.0
What year saw the creation of the region where the county of Hertfordshire is located?,C,0.134433,0.1443034,C,True,1.0
When was the abolishment of the studio that distributed The Game?,C,0.08871846,0.001726992,C,True,1.0
When was the publisher of Crux launched?,C,0.08547658,0.015049643,C,True,1.0
Jan Šindel's was born in what country?,C,-0.055599883,0.09412169,C,True,1.0
What city is the person who broadened the doctrine of philosophy of language from?,C,0.12189176,0.17163406,C,True,1.0
When was the baseball team winning the world series in 2015 baseball created?,C,0.23049542,-0.13102259,C,True,1.0
Where did the Baldevins bryllup director die?,C,-0.2606594,0.21306838,C,True,1.0
Who was thee first president of the association that wrote the code of ethics for psychology?,C,0.13818246,0.112991594,C,True,1.0
Which major Russian city borders the body of water in which Saaremaa is located?,C,0.12945214,0.12714213,B,False,1.0
When was the employer of John J. Collins established?,C,0.13559549,0.12255709,C,True,1.0
When did Bush declare the war causing Kerry to criticize him during the 2004 campaign?,C,0.13308674,-0.06256994,B,False,1.0
What is the college Francis Walsingham attended an instance of?,C,0.22803605,0.1828918,C,True,1.0
What type of university is the college Kyeon Mi-ri attended?,C,0.27374715,0.009027494,B,False,0.99999994
In what year was the author of The Insider's Guide to the Colleges established?,C,0.25740036,0.081235714,C,True,1.0
When was the territory covered by RIBA's Cambridge branch office created?,C,0.30830336,0.16399316,C,True,1.0
What's the meaning of the name of the school that does not include the Mahayava scriptures in its canon?,C,0.19735758,0.050828204,C,True,1.0
Where did the director who provided the lyrics to A Time for Singing attend school?,C,-0.09177982,-0.2709219,C,True,1.0
When did the country formerly known as Zaire become independent?,C,0.12843375,0.071184374,B,False,1.0
Where did Peter and Paul Fortress' designer die?,C,-0.013753979,0.15908648,C,True,1.0
When did the network which airs Alt for Norge start?,C,0.12216611,-0.08602262,B,False,1.0
Who failed to take back what the French believed instrumental in their defense?,C,0.107818834,0.01937455,B,False,0.99999994
What is the field of work of the proposer of the modern synthetic theory of evolution?,C,0.16337849,0.1483531,B,False,0.99999994
When was the season of Greys Anatomy when Derek died filmed?,C,-0.07500562,0.020885494,C,True,0.99999994
When did the manufacturer of a pedometer accessory for the iPod become a publicly traded company?,C,0.107311875,-0.158381,B,False,1.0
What is the record label for the person who sang Beauty and the Beast with Celine Dion?,C,-0.116052344,-0.40828788,B,False,0.99999994
Who is the employer of the Iranian scientist who co-invented the first gas laser?,C,-0.026992297,0.12969641,C,True,1.0
How many championships in a row were won by the person who played in the most NBA finals games?,C,0.1251581,-0.14335366,B,False,1.0
In what language is the star of Koyelaanchal fluent?,C,-0.10396876,0.07035831,C,True,1.0
What instrument did the artiste for Vi skall fara bortom månen play?,C,-0.116267286,-0.18949819,B,False,1.0
What year did the council which was seated in 1949 adopt the convention of cybercrime in?,C,0.09627489,0.11783783,C,True,1.0
When did the author of season 7 of game of thrones begin writing Winds of Winter?,C,-0.02057223,0.07578515,C,True,0.99999994
"What languages are spoken, written or signed by the person the Schiff test is named after?",C,0.11418475,0.1609712,C,True,1.0
What language did the leader of the least radicalized faction use?,C,0.08196666,0.10866473,B,False,1.0
When did the majority of the patents held by the company the Italian patents firm was representing expire?,C,0.060917906,0.11718433,C,True,1.0
What language is used by the person after whom the Panizzi lectures are named?,C,0.0030000682,0.1855464,B,False,0.99999994
What is the language for the person who translated Plato's work to Latin?,C,0.030825414,0.15156567,B,False,1.0
What did Goring believe the person whom he refused to work with in 1940 and 1941 would gain with further support?,C,0.04850361,0.17456174,B,False,0.99999994
Who was the president of the body that petitioned the king of England to recognize the rights of colonists when the declaration of independence was adopted?,C,0.12589864,0.113470435,C,True,1.0
What city is the place Kara Vâsıf Bey died located in?,C,-0.04434703,0.052880745,C,True,1.0
"What languages can the star of Accident on Hill Road speak, write or sign?",C,-0.114552684,0.034266707,C,True,0.99999994
In what year did France host the finals of the competition featuring Samoa for going on 30 years?,C,0.18324468,-0.014369844,B,False,1.0
In which year did the publisher of Roald Dahl's Guide to Railway Safety cease to exist?,C,0.06799356,0.06460409,C,True,1.0
When was the inception of the company that released Poptropica?,C,-0.14578594,-0.07767033,C,True,1.0
When did the distributer of Poptropica start?,C,0.066334926,0.07339508,C,True,1.0
What is the source of the river where Southern California gets most of its water?,C,0.17461707,0.0037424061,C,True,1.0
When was the university Elizabeth Harwood attended formed?,C,0.25504887,-0.020737475,B,False,0.99999994
What is the population of the city where the torch event was held in Vietnam?,C,0.15844974,0.14963876,C,True,1.0
Who is the spouse of one of the artist who have had concerts in the stadium?,C,-0.10763603,-0.27485463,C,True,1.0
"What type of community is the municipality where Norbert Pfretzschner died, an instance of?",C,0.11719817,0.22337708,C,True,0.99999994
In what U.S. conflict was involved the most famous army of the Confederacy?,C,0.11948152,0.026897918,B,False,1.0
The alma mater of Mushtaq Minhas is an example of what kind of university?,C,0.28266376,0.10618882,B,False,1.0
What is the literacy rate in the main city near where Guerra was assassinated?,C,0.10838122,0.2556394,B,False,1.0
What conflict involved the most famous Confederacy army?,C,0.11748579,0.064408675,B,False,0.99999994
What is the name of the airport in the city where the torch event was held in Vietnam?,C,0.1566351,0.15271975,C,True,1.0
When was the alma mater of Rosalind Plowright founded?,C,0.2615357,0.038877867,C,True,1.0
What is the literacy rate in the new state capitol founded in 1709?,C,0.2918366,0.16195431,C,True,1.0
What year was the end of the manufacturer of the White armored car?,C,0.046778884,0.033118002,C,True,1.0
Who did the members of Kassetten's performers collaborate with?,C,-0.18179214,-0.2719518,C,True,1.0
What university is Anthony Marten's college part of?,C,0.22891532,0.07647844,B,False,1.0
What year was the end of the company that built the White armored car?,C,0.064185776,0.030222146,C,True,1.0
What university is the college attended by Roland Moyle part of?,C,0.19748846,0.057492662,C,True,1.0
What does the abbreviation of the agency that officially recognized women's football in 1971 Stand for?,C,0.23630841,-0.1395466,B,False,1.0
Where does the four letter abbreviation of the organization which includes the Gibraltar Football Association stand for?,C,0.26395783,0.0030546256,B,False,0.99999994
Where did the team that won the MLB World Series in 2007 get Brandon Phillips from?,C,0.12307226,-0.1483544,C,True,0.99999994
What is the name of the reservoir fed by the river that the Vyatka connects to?,C,0.09563525,0.07259792,C,True,1.0
Who plays the man with the largest signature on the declaration of independence in Sons of Liberty?,C,-0.11482143,0.10462387,C,True,1.0
What family does the ruling king of Saudi Arabia come from?,C,-0.024163567,0.19061272,C,True,1.0
"When did the the river where Southern California gets most of its water, start to form the Grand Canyon?",C,0.15329884,-0.011016326,B,False,0.99999994
What year did the company Novair International Airways is part of dissolve?,C,0.10938816,0.04135909,C,True,1.0
What is the sports team the person played for who scored the first touchdown in Superbowl 1?,C,0.14540946,-0.121401094,C,True,1.0
How did the Japanese beat the country whose government disagreed on the language used to describe the torch route?,C,0.05105026,0.10074234,C,True,1.0
What language is used by the director of Thenum Vayambum?,C,-0.037861902,0.22677612,C,True,1.0
