token_len,entity_count,bridge_flag,label,question,id
9,1,0,C,When was the institute that owned The Collegian founded?,2hop__482757_12019
15,1,1,C,What year saw the creation of the region where the county of Hertfordshire is located?,2hop__129292_160863
11,0,1,C,When was the abolishment of the studio that distributed The Game?,2hop__679261_120616
7,1,0,C,When was the publisher of Crux launched?,2hop__813857_127131
7,1,0,C,Jan Šindel's was born in what country?,2hop__144408_215084
14,0,0,C,What city is the person who broadened the doctrine of philosophy of language from?,2hop__63119_153058
13,1,0,C,When was the baseball team winning the world series in 2015 baseball created?,2hop__63593_126904
7,1,1,C,Where did the Baldevins bryllup director die?,2hop__125960_675104
16,1,1,C,Who was thee first president of the association that wrote the code of ethics for psychology?,2hop__86989_14904
14,2,0,C,Which major Russian city borders the body of water in which Saaremaa is located?,2hop__28482_46077
9,1,0,C,When was the employer of John J. Collins established?,2hop__465230_21416
15,3,0,C,When did Bush declare the war causing Kerry to criticize him during the 2004 campaign?,2hop__30913_30900
10,1,0,C,What is the college Francis Walsingham attended an instance of?,2hop__121758_211071
10,0,0,C,What type of university is the college Kyeon Mi-ri attended?,2hop__121445_444063
14,3,0,C,In what year was the author of The Insider's Guide to the Colleges established?,2hop__446183_21489
11,2,0,C,When was the territory covered by RIBA's Cambridge branch office created?,2hop__7483_160863
19,1,1,C,What's the meaning of the name of the school that does not include the Mahayava scriptures in its canon?,2hop__2946_2741
15,0,1,C,Where did the director who provided the lyrics to A Time for Singing attend school?,2hop__607476_26791
10,1,0,C,When did the country formerly known as Zaire become independent?,2hop__46304_83854
8,2,1,C,Where did Peter and Paul Fortress' designer die?,2hop__94429_480639
10,1,1,C,When did the network which airs Alt for Norge start?,2hop__140732_126525
13,1,0,C,Who failed to take back what the French believed instrumental in their defense?,2hop__22777_22785
16,0,0,C,What is the field of work of the proposer of the modern synthetic theory of evolution?,2hop__47096_807767
11,2,0,C,When was the season of Greys Anatomy when Derek died filmed?,2hop__79482_65123
16,1,0,C,When did the manufacturer of a pedometer accessory for the iPod become a publicly traded company?,2hop__1007_59746
17,1,0,C,What is the record label for the person who sang Beauty and the Beast with Celine Dion?,2hop__56206_271788
14,2,1,C,Who is the employer of the Iranian scientist who co-invented the first gas laser?,2hop__35307_422900
19,1,0,C,How many championships in a row were won by the person who played in the most NBA finals games?,2hop__52582_47867
9,1,0,C,In what language is the star of Koyelaanchal fluent?,2hop__95637_487859
12,0,0,C,What instrument did the artiste for Vi skall fara bortom månen play?,2hop__143789_699083
16,1,1,C,What year did the council which was seated in 1949 adopt the convention of cybercrime in?,2hop__26852_71366
16,2,0,C,When did the author of season 7 of game of thrones begin writing Winds of Winter?,2hop__81704_59948
16,1,0,C,"What languages are spoken, written or signed by the person the Schiff test is named after?",2hop__135799_442683
11,0,0,C,What language did the leader of the least radicalized faction use?,2hop__160187_350741
18,1,0,C,When did the majority of the patents held by the company the Italian patents firm was representing expire?,2hop__11598_11596
14,0,0,C,What language is used by the person after whom the Panizzi lectures are named?,2hop__136052_749201
13,2,0,C,What is the language for the person who translated Plato's work to Latin?,2hop__35893_798003
21,3,0,C,What did Goring believe the person whom he refused to work with in 1940 and 1941 would gain with further support?,2hop__32506_32631
26,1,1,C,Who was the president of the body that petitioned the king of England to recognize the rights of colonists when the declaration of independence was adopted?,2hop__80262_77732
11,1,0,C,What city is the place Kara Vâsıf Bey died located in?,2hop__146496_719024
